Sector,Name,Price,52 Week High,52 Week Low
Financials,Citizens Financial Group,42.19,48.23,31.51
Information Technology,Citrix Systems,84.53,95.0,73.3346
Financials,CME Group Inc.,153.04,163.0,114.8176
Utilities,CMS Energy,41.77,50.85,41.07
Consumer Staples,Coca-Cola Company (The),43.1,48.615,40.22
Information Technology,Cognizant Technology Solutions,75.16,79.28,54.76
Consumer Staples,Colgate-Palmolive,68.95,77.91,66.26
Consumer Discretionary,Comcast Corp.,38.19,44.0,34.78
Financials,Comerica Inc.,89.18,98.18,64.04
Consumer Staples,Conagra Brands,35.49,41.68,32.16
Energy,Concho Resources,140.09,162.91,106.73
Energy,ConocoPhillips,53.24,61.315,42.265
Utilities,Consolidated Edison,74.73,89.7,72.63
Consumer Staples,Constellation Brands,208.73,229.5,152.01
Information Technology,Corning Inc.,28.45,35.1,26.31
Consumer Staples,Costco Wholesale Corp.,178.61,199.88,150.0
Consumer Staples,"Coty, Inc",19.96,21.175,14.24
Real Estate,Crown Castle International Corp.,103.81,114.97,86.93
Information Technology,CSRA Inc.,30.85,33.79,27.38
Industrials,CSX Corp.,50.47,60.04,45.41
Industrials,Cummins Inc.,165.73,194.18,143.8301
Consumer Staples,CVS Health,70.55,84.0,66.45
Consumer Discretionary,D. R. Horton,44.55,53.32,29.3716
Health Care,Danaher Corp.,92.16,104.82,78.97
Consumer Discretionary,Darden Restaurants,91.33,100.11,71.7
Health Care,DaVita Inc.,71.91,80.71,52.51
Industrials,Deere & Co.,153.66,171.96,106.72
Industrials,Delta Air Lines Inc.,51.23,60.79,43.81
Health Care,Dentsply Sirona,56.85,68.98,52.535
Energy,Devon Energy Corp.,34.94,47.25,28.7947
Real Estate,Digital Realty Trust Inc,98.96,127.23,101.101
Financials,Discover Financial Services,72.4,81.93,57.5
Consumer Discretionary,Discovery Communications-A,22.87,30.25,15.99
Consumer Discretionary,Discovery Communications-C,21.58,29.18,14.99
Consumer Discretionary,Dish Network,43.77,66.5,42.48
Consumer Discretionary,Dollar General,95.1,105.82,65.97
Consumer Discretionary,Dollar Tree,101.58,116.65,65.63
Utilities,Dominion Energy,73.31,85.3,71.59
Industrials,Dover Corp.,96.2,109.06,75.51
Materials,DowDuPont,68.21,77.08,64.01
Consumer Staples,Dr Pepper Snapple Group,116.93,126.65,83.23
Utilities,DTE Energy Co.,98.49,116.74,96.56
Utilities,Duke Energy,74.32,91.8,72.93
Real Estate,Duke Realty Corp,24.52,30.14,24.73
Information Technology,DXC Technology,91.92,102.95,67.76
Financials,E*Trade,48.48,56.0,32.25
Materials,Eastman Chemical,93.57,104.08,76.02
Industrials,Eaton Corporation,79.41,89.85,69.45
Information Technology,eBay Inc.,41.02,46.99,31.89
Materials,Ecolab Inc.,127.76,140.5,119.61
Utilities,Edison Int'l,58.07,83.38,58.76
Health Care,Edwards Lifesciences,123.78,138.48,89.2
Information Technology,Electronic Arts,116.54,131.01,81.27
Industrials,Emerson Electric Company,66.4,74.45,56.77
Utilities,Entergy Corp.,72.02,87.95,69.63
Health Care,Envision Healthcare,35.34,73.0,23.77
Energy,EOG Resources,101.04,119.0,81.99
Energy,EQT Corporation,46.25,67.84,47.13
Industrials,Equifax Inc.,114.0,147.02,90.72
Real Estate,Equinix,409.98,495.345,361.9
Real Estate,Equity Residential,55.26,70.455,56.07
Real Estate,"Essex Property Trust, Inc.",218.28,270.04,214.03
Consumer Staples,Estee Lauder Cos.,131.46,138.74,81.69
Financials,Everest Re Group Ltd.,241.06,277.17,208.81
Utilities,Eversource Energy,56.11,66.15,55.2
Utilities,Exelon Corp.,35.98,42.67,33.3
Consumer Discretionary,Expedia Inc.,123.03,161.0,115.55
Industrials,Expeditors International,60.36,67.54,51.96
Health Care,Express Scripts,73.35,83.485,55.8
Real Estate,Extra Space Storage,77.56,88.56,71.34
Energy,Exxon Mobil Corp.,76.07,89.3,76.05
Information Technology,F5 Networks,137.25,149.5,114.63
Information Technology,"Facebook, Inc.",171.58,195.32,132.44
Industrials,Fastenal Co,52.15,57.815,39.79
Real Estate,Federal Realty Investment Trust,108.11,143.79,109.74
Industrials,FedEx Corporation,239.27,274.66,182.89
Information Technology,Fidelity National Information Services,92.74,103.65,77.63
Financials,Fifth Third Bancorp,31.1,33.91,23.2
Utilities,FirstEnergy Corp,30.64,35.22,27.93
Information Technology,Fiserv Inc,133.05,144.2,106.2
Information Technology,FLIR Systems,46.46,52.88,33.75
Industrials,Flowserve Corporation,40.82,51.92,37.51
Industrials,Fluor Corp.,55.31,62.09,37.0351
Materials,FMC Corporation,80.87,98.7,56.53
Consumer Discretionary,Foot Locker Inc,45.88,77.86,28.42
Consumer Discretionary,Ford Motor,10.43,13.48,10.19
Industrials,Fortive Corp,69.14,76.68,54.8844
Industrials,Fortune Brands Home & Security,62.44,73.62,55.25
Financials,Franklin Resources,38.0,47.65,37.01
Materials,Freeport-McMoRan Inc.,17.16,20.25,11.05
Consumer Discretionary,Gap Inc.,31.17,35.68,21.02
Consumer Discretionary,Garmin Ltd.,61.13,64.96,48.5
Information Technology,Gartner Inc,114.26,142.16,97.96
Industrials,General Dynamics,206.05,229.54,181.94
Industrials,General Electric,14.45,30.59,14.71
Real Estate,General Growth Properties Inc.,21.62,25.72,18.83
Consumer Staples,General Mills,53.99,63.73,49.65
Consumer Discretionary,General Motors,40.75,46.76,31.92
Consumer Discretionary,Genuine Parts,96.31,107.75,79.86
Health Care,Gilead Sciences,78.22,89.54,63.759
Information Technology,Global Payments Inc.,100.59,113.26,76.47
Financials,Goldman Sachs Group,246.35,273.79,209.62
Consumer Discretionary,Goodyear Tire & Rubber,30.75,37.2,28.81
Industrials,Grainger (W.W.) Inc.,258.6,298.145,155.0
Energy,Halliburton Co.,47.41,57.86,38.181
Consumer Discretionary,Hanesbrands Inc,19.57,25.73,18.9
Consumer Discretionary,Harley-Davidson,47.54,63.4,44.52
Information Technology,Harris Corporation,149.84,160.67,104.16
